id,away_losses,away_wins,home_losses,home_wins
400490003,55,21,38,38
400490004,24,53,32,44
400490005,46,31,42,33
400490006,59,17,53,23
400490007,49,27,34,41
400490008,37,38,23,52
400490009,36,40,44,33
400490010,62,14,32,44
400490011,44,32,52,24
400490012,20,55,25,50
400490013,31,45,28,49
400490014,49,27,29,47
400490015,31,46,51,25
400490016,38,38,55,22
400490017,32,45,37,40
400490018,38,39,47,31
400490019,54,23,49,28
400490020,34,42,60,17
400490021,32,45,63,14
400490022,45,33,23,53
400490023,52,25,23,55
400490024,31,47,50,27
400490025,42,34,25,53
400490026,44,33,25,51
400490027,32,45,17,60
400490028,53,24,29,48
400490029,21,55,31,46
400490030,45,32,28,50
400490031,34,43,24,53
400490032,31,48,54,24
